begin{nbTrucks}
88
end{nbTrucks}
begin{nbDocks}
26
end{nbDocks}
begin{nbTF}
16
end{nbTF}
begin{nbScenarios}
1
end{nbScenarios}
begin{nbResourcePersonel}
22
end{nbResourcePersonel}
begin{nbResourceEquipment}
7
end{nbResourceEquipment}
begin{nbResourceVehicule}
9
end{nbResourceVehicule}
begin{Tasks}{n	r	d	delta	penalty	p0	resourcePersonel0	resourceEquipments0	resourceVehicle0
1	5	13	2	5	3	3	1	3	
2	8	13	1	6	2	3	2	1	
3	8	16	2	7	3	4	1	1	
4	8	15	1	9	3	4	1	1	
5	7	16	2	8	3	3	1	1	
6	9	16	2	6	3	3	2	3	
7	7	15	1	9	3	4	1	2	
8	0	8	2	6	3	4	1	3	
9	10	16	2	6	3	3	1	1	
10	2	9	1	8	3	2	2	3	
11	3	10	2	8	2	2	2	2	
12	2	9	1	9	3	2	1	3	
13	2	9	2	5	2	3	0	3	
14	6	15	2	8	3	3	0	2	
15	5	12	1	9	3	3	1	1	
16	8	16	1	8	3	2	0	3	
17	0	6	2	8	2	4	0	2	
18	3	9	2	9	2	3	1	1	
19	7	12	1	8	2	2	1	2	
20	6	13	2	9	2	4	1	2	
21	4	10	1	8	2	4	0	2	
22	6	13	2	9	2	2	2	1	
23	8	16	2	8	3	3	0	2	
24	3	12	2	9	3	2	2	1	
25	9	15	2	6	2	2	2	1	
26	10	16	2	7	3	3	2	2	
27	2	7	1	5	2	4	2	1	
28	3	9	1	8	2	4	2	2	
29	11	16	1	8	3	3	0	2	
30	5	12	1	9	3	4	2	1	
31	10	16	1	8	3	2	2	2	
32	9	15	2	9	2	3	0	1	
33	5	12	2	7	2	2	1	3	
34	1	10	2	9	3	3	0	1	
35	10	16	2	6	3	3	2	2	
36	7	14	2	5	2	2	1	3	
37	2	8	1	7	2	4	0	1	
38	6	11	1	6	2	4	0	3	
39	3	12	2	6	3	4	1	1	
40	10	16	1	6	2	4	0	3	
41	5	13	1	6	3	2	2	2	
42	4	11	1	7	3	3	2	1	
43	9	16	1	7	3	3	0	1	
44	2	9	1	8	3	2	1	1	
45	1	9	1	7	3	2	0	2	
46	9	16	2	9	3	2	1	2	
47	4	12	1	9	3	4	2	3	
48	1	7	1	9	2	2	1	3	
49	4	12	1	7	3	2	1	1	
50	10	16	1	6	2	2	1	2	
51	5	11	2	6	2	4	1	3	
52	7	13	2	5	2	3	0	3	
53	0	5	1	6	2	4	0	1	
54	9	16	2	9	2	4	0	1	
55	4	11	1	6	3	2	1	2	
56	11	16	1	8	2	2	2	2	
57	6	13	2	8	2	4	0	3	
58	6	11	1	7	2	2	1	3	
59	0	7	1	7	3	4	1	1	
60	1	8	1	7	3	4	2	1	
61	3	9	2	9	2	3	0	3	
62	7	14	1	8	3	4	0	2	
63	3	10	2	7	2	2	2	2	
64	7	15	2	7	3	2	2	2	
65	1	10	2	7	3	3	2	3	
66	3	8	1	8	2	4	1	2	
67	8	15	1	7	3	2	1	2	
68	8	14	1	5	2	2	0	1	
69	6	14	2	8	3	3	0	2	
70	2	10	1	6	3	4	1	3	
71	5	12	2	9	2	3	1	2	
72	8	14	1	6	2	2	2	2	
73	6	13	1	6	3	4	0	2	
74	11	16	1	6	2	2	2	2	
75	1	8	1	5	3	2	1	1	
76	8	15	1	7	3	4	0	3	
77	1	6	1	6	2	4	2	1	
78	1	7	1	5	2	3	1	1	
79	5	14	2	5	3	4	2	3	
80	1	8	1	8	3	4	1	2	
81	4	10	2	9	2	2	0	3	
82	4	13	2	7	3	2	0	1	
83	0	8	2	6	3	2	2	2	
84	9	16	1	6	3	4	1	2	
85	5	11	1	6	2	2	2	1	
86	2	8	1	6	2	3	0	1	
87	0	7	2	5	2	4	1	3	
88	10	16	2	5	2	3	0	3	
end{Tasks}
